dimensionless_reaction_q,photon_massweighted_Q,potential_ev
0.26,-15.9,5.26937653195
0.286,-15.9,5.16138098369
0.312,-15.9,5.04971708279
0.338,-15.9,4.93463859352
0.364,-15.9,4.81642134659
0.39,-15.9,4.69536323916
0.416,-15.9,4.57178423486
0.442,-15.9,4.44602636379
0.468,-15.9,4.31845372247
0.494,-15.9,4.18945247391
0.52,-15.9,4.05943084757
0.546,-15.9,3.92881913936
0.572,-15.9,3.79806971165
0.598,-15.9,3.66765699326
0.624,-15.9,3.53807747949
0.65,-15.9,3.40984973206
0.676,-15.9,3.28351437919
0.702,-15.9,3.15963411553
0.728,-15.9,3.03879370219
0.754,-15.9,2.92159996673
0.78,-15.9,2.8086818032
0.806,-15.9,2.70069017206
0.832,-15.9,2.59829810027
0.858,-15.9,2.50220068121
0.884,-15.9,2.41311507476
0.91,-15.9,2.33178050721
0.936,-15.9,2.25895827134
0.962,-15.9,2.19543172637
0.988,-15.9,2.14200629799
1.014,-15.9,2.09950947834
1.04,-15.9,2.06879082602
1.066,-15.9,2.05072196608
1.092,-15.9,2.04619659003
1.118,-15.9,2.05613045585
1.144,-15.9,2.08146138796
1.17,-15.9,2.12314927723
1.196,-15.9,2.18217608103
1.222,-15.9,2.25954582313
1.248,-15.9,2.35628459379
1.274,-15.9,2.47344054974
1.3,-15.9,2.61208391413
-1.3,-15.6,8.37345785784
-1.274,-15.6,8.11652521457
-1.248,-15.6,7.88107997976
-1.222,-15.6,7.66605193021
-1.196,-15.6,7.47039290924
-1.17,-15.6,7.29307682657
-1.144,-15.6,7.13309965842
-1.118,-15.6,6.98947944744
-1.092,-15.6,6.86125630275
-1.066,-15.6,6.74749239992
-1.04,-15.6,6.64727198099
-1.014,-15.6,6.55970135444
-0.988,-15.6,6.48390889521
-0.962,-15.6,6.41904504472
-0.936,-15.6,6.36428231081
-0.91,-15.6,6.31881526781
-0.884,-15.6,6.28186055648
-0.858,-15.6,6.25265688406
-0.832,-15.6,6.23046502424
-0.806,-15.6,6.21456781716
-0.78,-15.6,6.20427016942
-0.754,-15.6,6.19889905408
-0.728,-15.6,6.19780351066
-0.702,-15.6,6.20035464513
-0.676,-15.6,6.20594562992
-0.65,-15.6,6.21399170392
-0.624,-15.6,6.22393017247
-0.598,-15.6,6.23522040737
-0.572,-15.6,6.24734384688
